Ref,Val,Package,PosX,PosY,Rot,Side
C1,0,1µF,0603C,108.813600,-63.728600,0.000000,bottom
C2,0,1µF,0603C,98.145600,-71.805800,180.000000,bottom
C3,0,1µF,0603C,98.145600,-69.857620,180.000000,bottom
R1,10K,0603R,93.807280,-68.122800,180.000000,bottom
R2,330R,0603R,99.695000,-89.738200,180.000000,bottom
R3,100R,0603R,110.990380,-61.584840,270.000000,bottom
R4,330R,0603R,111.099600,-87.401400,90.000000,bottom
